"173.04897727000002","-40.928895822","Abel Tasman National Park"
"168.323932180241","-45.64371966493975","Acton"
"171.1753431644828","-44.43091683172413","Adair"
"175.67796621679244","-41.13850711245282","Admiral Hill"
"173.8681409568421","-40.974870071578955","Admiralty Bay"
"171.5509793910204","-42.35037144867348","Ahaura"
"175.5940807586","-41.089954844199994","Ahiaruhe"
"175.48244261851065","-41.07057980702128","Ahikouka"
"174.6672682384091","-38.87546399159091","Ahititi"
"169.70470375","-44.341021264999995","Ahuriri Conservation Park"
"169.7607594379033","-46.41550710693549","Ahuriri Flat"
"170.93319719176466","-45.003328643529414","Airedale"
"174.80892264823862","-37.27352004840908","Aka Aka"
"172.96759944222302","-43.81005687900238","Akaroa"
"170.112866885","-46.1409943807143","Akatore"
"176.4059650112295","-40.591410616885256","Akitio"
"169.18482381317472","-44.67928271857273","Albert Town"
"170.83338071006068","-44.2524955579394","Albury"
"169.3901477203248","-45.24380933765286","Alexandra"
"171.50304292358973","-43.61845279487179","Alford Forest"
"175.88737221404762","-40.67487624166665","Alfredton"
"174.7427250974756","-36.43505073444228","Algies Bay"
"172.64686440494944","-43.63348432121212","Allandale"
"170.26819231806326","-45.91536862375494","Allanton"
"170.89857933799993","-45.11659798612501","Alma"
"174.44504864574998","-39.665606992499995","Alton"
"172.7359607725941","-43.15525603773663","Amberley"
"175.44904087432008","-36.68690745848001","Amodeo Bay"
"172.91983888294735","-42.769741470526306","Amuri Plain"
"173.9105553987952","-41.26697972475904","Anakiwa"
"174.115315844","-41.063371745000005","Anakoha"
"178.30093985763165","-38.238774896578946","Anaura Bay"
"174.4885224262264","-36.93225210075472","Anawhata"
"168.3663901406122","-46.36054948285715","Anderson Park"
"173.17268810208336","-41.386784373194445","Aniseed Valley"
"175.6828390813061","-40.37089366228234","Aokautere"
"175.92560362722426","-37.60979167687939","Aongatete"
"170.09974778536582","-43.73674255499999","Aoraki Mount Cook National Park"
"175.59604010695878","-40.245045140309294","Aorangi"
"175.29091052500002","-41.42773724","Aorangi Forest Park"
"174.81138590999998","-39.2427423725","Aotuhia"
"168.0553108196667","-46.063752020666676","Aparima"
"175.91099135033977","-39.981777125436885","Apiti"
"171.0199609514689","-42.69589683593221","Arahura Valley"
"172.9604908796786","-43.704619276571414","Aramoana"
"173.59145457708743","-35.74179649436893","Aranga"
"173.96982377791676","-35.9896814779167","Arapohue"
"175.66187893759542","-38.06485097903227","Arapuni"
"174.3959942732353","-39.496255254999994","Ararata"
"175.04589234426754","-37.13823055009555","Ararimu"
"174.1652332259574","-36.04900769510639","Ararua"
"173.89457259274735","-36.01216582736265","Aratapu"
"168.65489520113212","-45.77015103037736","Ardlussa"
"174.98006738661294","-37.03358382358064","Ardmore"
"168.2408711003125","-46.325372252812514","Argyle Corner"
"168.89357651923075","-45.6938115823077","Argyle Hill"
"176.54697380033338","-39.832803471000005","Argyll"
"175.08498859908332","-38.57297917025001","Aria"
"171.42703016383567","-42.5038479949315","Arnold Valley"
"168.86169688562495","-44.98484105767857","Arrow Junction"
"168.8316814456321","-44.94605630217618","Arrowtown"
"171.64798064444446","-43.03219152444445","Arthur's Pass"
"171.5635440665672","-42.94340218261194","Arthur's Pass National Park"
"168.67741637230165","-44.98556468648808","Arthurs Point"
"171.27493558914293","-43.98800493742856","Arundel"
"171.74868091207466","-43.90383041275067","Ashburton"
"171.56611052948983","-43.71554645663266","Ashburton Forks"
"171.16064292520005","-43.5829262992","Ashburton Lakes"
"168.67680506962262","-46.45915079396227","Ashers"
"175.75340723162597","-40.28261274905928","Ashhurst"
"172.60147693238088","-43.26386858897243","Ashley"
"176.31648219978266","-39.96065833268119","Ashley Clinton"
"169.465396437551","-46.16153305857143","Ashley Downs"
"172.49357822","-43.155917329999994","Ashley Forest"
"171.7539007093333","-44.025244171999994","Ashton"
"170.8145045277419","-44.02503588247311","Ashwick Flat"
"172.66674251391754","-43.7491332874227","Ataahua"
"172.79506269235293","-41.616035090000004","Atapo"
"171.51370309706527","-42.32038333597826","Atarau"
"175.91920422644446","-37.45377231422223","Athenree Gorge"
"168.58464396812502","-45.511869352777765","Athol"
"176.08066557096384","-38.36675865293172","Atiamuri"
"174.75376519619957","-36.93916804874627","Auckland"
"174.0512514734821","-39.47715205620538","Auroa"
"170.30889180499997","-44.64124106","Aviemore"
"175.51338971699994","-40.268729485","Awahuri"
"175.6128936476056","-37.39414826338025","Awaiti"
"176.89875907744164","-37.982612015562005","Awakeri"
"174.6405192525532","-38.65859761851063","Awakino"
"173.898309813875","-35.912777886625015","Awakino Point"
"169.68275553999996","-46.09221812666666","Awamangu"
"170.93491537114292","-45.123359578999995","Awamoa"
"170.89748728431377","-44.93467728333332","Awamoko"
"173.25707001774617","-35.04199766863637","Awanui"
"172.99126","-40.852416000000005","Awaroa"
"172.08127172217382","-39.084437786956535","Awarua"
"168.43596198683335","-46.54630571949999","Awarua Plains"
"168.54582351565216","-46.48713454579711","Awarua Wetlands"
"168.94668501285716","-45.766903860000006","Awatere"
"173.78188751909084","-41.8029915475","Awatere Valley"
"171.8226747977021","-41.851134886510636","Awatuna"
"174.63221251356032","-37.10311056293195","Awhitu"
"172.53756527215396","-40.78218779923077","Bainham"
"172.68233926378502","-43.182985463271024","Balcairn"
"169.73741007193112","-46.2384365065038","Balclutha"
"167.82176457571427","-46.22913527428572","Bald Hill"
"168.58332461550515","-45.84279322030304","Balfour"
"175.794033302683","-40.39524807439024","Ballance"
"172.77269047666667","-42.79711327617647","Balmoral"
"172.01642551380118","-43.67597968894735","Bankside"
