"174.36058981731182","-35.723533106559124","Abbey Caves","Whangarei"
"170.42562811432407","-45.89556432326533","Abbotsford","Dunedin"
"173.04897727000002","-40.928895822","Abel Tasman National Park","Abel Tasman National Park"
"176.0220108600995","-38.705277080000016","Acacia Bay","Taupo"
"168.323932180241","-45.64371966493975","Acton","Acton"
"171.1753431644828","-44.43091683172413","Adair","Adair"
"172.61634267589616","-43.5445669559502","Addington","Christchurch"
"175.67796621679244","-41.13850711245282","Admiral Hill","Admiral Hill"
"173.8681409568421","-40.974870071578955","Admiralty Bay","Admiralty Bay"
"171.5509793910204","-42.35037144867348","Ahaura","Ahaura"
"175.5940807586","-41.089954844199994","Ahiaruhe","Ahiaruhe"
"175.48244261851065","-41.07057980702128","Ahikouka","Ahikouka"
"173.16002824340845","-35.167537423901415","Ahipara","Kaitaia"
"174.6672682384091","-38.87546399159091","Ahititi","Ahititi"
"176.8997007169168","-39.482408576541566","Ahuriri","Napier"
"169.70470375","-44.341021264999995","Ahuriri Conservation Park","Ahuriri Conservation Park"
"169.7607594379033","-46.41550710693549","Ahuriri Flat","Ahuriri Flat"
"172.567707485238","-43.56496965229207","Aidanfield","Christchurch"
"170.93319719176466","-45.003328643529414","Airedale","Airedale"
"174.80892264823862","-37.27352004840908","Aka Aka","Aka Aka"
"172.96759944222302","-43.81005687900238","Akaroa","Akaroa"
"175.11140164981137","-41.078877966320746","Akatarawa","Upper Hutt"
"175.1195394416494","-41.02256308175258","Akatarawa Valley","Upper Hutt"
"170.112866885","-46.1409943807143","Akatore","Akatore"
"176.84564405702827","-39.65256924594406","Akina","Hastings"
"176.4059650112295","-40.591410616885256","Akitio","Akitio"
"174.69838117718834","-36.73287416298477","Albany","Auckland"
"174.69821987881136","-36.71790305821714","Albany Heights","Auckland"
"169.18482381317472","-44.67928271857273","Albert Town","Albert Town"
"170.83338071006068","-44.2524955579394","Albury","Albury"
"169.38633544329986","-45.24660143210098","Alexandra","Alexandra"
"171.50304292358973","-43.61845279487179","Alford Forest","Alford Forest"
"175.88737221404762","-40.67487624166665","Alfredton","Alfredton"
"174.92916082520193","-37.012847010555554","Alfriston","Auckland"
"174.7427250974756","-36.43505073444228","Algies Bay","Algies Bay"
"174.89177715882286","-41.216324177189726","Alicetown","Lower Hutt"
"172.64686440494944","-43.63348432121212","Allandale","Allandale"
"170.26819231806326","-45.91536862375494","Allanton","Allanton"
"171.7475480803689","-43.88700922041033","Allenton","Ashburton"
"170.89857933799993","-45.11659798612501","Alma","Alma"
"174.44504864574998","-39.665606992499995","Alton","Alton"
"172.7359607725941","-43.15525603773663","Amberley","Amberley"
"175.44904087432008","-36.68690745848001","Amodeo Bay","Amodeo Bay"
"172.91983888294735","-42.769741470526306","Amuri Plain","Amuri Plain"
"173.9105553987952","-41.26697972475904","Anakiwa","Anakiwa"
"174.115315844","-41.063371745000005","Anakoha","Anakoha"
"178.30093985763165","-38.238774896578946","Anaura Bay","Anaura Bay"
"174.4885224262264","-36.93225210075472","Anawhata","Anawhata"
"168.3663901406122","-46.36054948285715","Anderson Park","Anderson Park"
"170.53265936355587","-45.89665306555281","Andersons Bay","Dunedin"
"173.17268810208336","-41.386784373194445","Aniseed Valley","Aniseed Valley"
"173.24158718496702","-41.2981820290924","Annesbrook","Nelson"
"175.6828390813061","-40.37089366228234","Aokautere","Aokautere"
"175.92560362722426","-37.60979167687939","Aongatete","Aongatete"
"170.09974778536582","-43.73674255499999","Aoraki Mount Cook National Park","Aoraki Mount Cook National Park"
"175.59604010695878","-40.245045140309294","Aorangi","Aorangi"
"175.29091052500002","-41.42773724","Aorangi Forest Park","Aorangi Forest Park"
"174.86089657242454","-41.127505509629856","Aotea","Porirua"
"174.81138590999998","-39.2427423725","Aotuhia","Aotuhia"
"168.0553108196667","-46.063752020666676","Aparima","Aparima"
"175.91099135033977","-39.981777125436885","Apiti","Apiti"
"168.93357392995998","-45.80533723346192","Appleby","Invercargill"
"171.0199609514689","-42.69589683593221","Arahura Valley","Arahura Valley"
"172.9604908796786","-43.704619276571414","Aramoana","Aramoana"
"175.06525596952162","-39.89952658664338","Aramoho","Whanganui"
"173.59145457708743","-35.74179649436893","Aranga","Aranga"
"172.70510101762451","-43.51424304334136","Aranui","Christchurch"
"173.96982377791676","-35.9896814779167","Arapohue","Arapohue"
"175.66187893759542","-38.06485097903227","Arapuni","Arapuni"
"174.3959942732353","-39.496255254999994","Ararata","Ararata"
"175.04589234426754","-37.13823055009555","Ararimu","Ararimu"
"174.1652332259574","-36.04900769510639","Ararua","Ararua"
"173.89457259274735","-36.01216582736265","Aratapu","Aratapu"
"170.96069692781825","-45.07764162563636","Ardgowan","Oamaru"
"168.65489520113212","-45.77015103037736","Ardlussa","Ardlussa"
"174.98006738661294","-37.03358382358064","Ardmore","Ardmore"
"168.2408711003125","-46.325372252812514","Argyle Corner","Argyle Corner"
"168.89357651923075","-45.6938115823077","Argyle Hill","Argyle Hill"
"176.54697380033338","-39.832803471000005","Argyll","Argyll"
"175.08498859908332","-38.57297917025001","Aria","Aria"
"174.74272148740351","-36.643003491767985","Arkles Bay","Whangaparaoa"
"174.80175330828882","-36.60448440894821","Army Bay","Whangaparaoa"
"171.42703016383567","-42.5038479949315","Arnold Valley","Arnold Valley"
"174.7641502290005","-41.295218567274844","Aro Valley","Wellington"
"168.86169688562495","-44.98484105767857","Arrow Junction","Arrow Junction"
"168.8316814456321","-44.94605630217618","Arrowtown","Arrowtown"
"171.64798064444446","-43.03219152444445","Arthur's Pass","Arthur's Pass"
